,date,headline,section,word_count
11091,2016-02-16T00:00:00Z,Rodarte: Fall 2016 RTW,Fashion & Style,7
11092,2016-02-16T14:10:23Z,"Hillary Clinton, Seeking to Solidify Blacks&#8217; Support, Meets With Civil Rights Leaders",U.S.,483
11093,2016-02-16T00:00:00Z,Vera Wang: Fall 2016 RTW,Fashion & Style,6
11094,2016-02-16T00:00:00Z,Nicholas Kristof: Three Decades of Covering the World,Times Insider,104
11095,2016-02-16T13:48:01Z,Ted Cruz Outlines Plan to Strengthen Military,U.S.,795
11096,2016-02-16T13:42:19Z,South Street Seaport Museum Ready for First Exhibition Since Hurricane Sandy,Arts,311
11097,2016-02-16T13:35:56Z,"&#8216;Come From Away,&#8217; a Sept. 11 Musical, Is Coming to Broadway",Arts,240
11098,2016-02-16T12:29:20+0000,Chinese Writer Says He’s Forbidden From Traveling to U.S. for Harvard Prize,World,598
11099,2016-02-16T12:19:41Z,Two Poems by J.R.R. Tolkien Found in School Publication in England,Arts,248
11100,2016-02-16T00:00:00Z,"At Thom Browne, Revisiting New York City’s Not-so-Roaring ’20s",T Magazine,21
11101,2016-02-16T00:00:00Z,Catherine Opie in Conversation With Rodarte,T Magazine,953
11102,2016-02-16T00:00:00Z,The Best and Worst of the Grammys,Arts,
11103,2016-02-16T00:00:00Z,New York Fashion Week: Tommy Hilfiger and Jeremy Scott in Pictures,T Magazine,12
11104,2016-02-16T00:00:00Z,Tory Burch: Fall 2016,Fashion & Style,4
11105,2016-02-16T09:42:38Z,1941: British Mine Singapore Coast,World,109
11106,2016-02-16T09:15:47Z,Bernie Sanders and Hillary Clinton to Meet Civil Rights Leaders,U.S.,393
11107,2016-02-16T00:00:00Z,Matchmaking at a 7-Eleven,N.Y. / Region,205
11108,2016-02-16T08:51:06+0000,인간 자폐증 연구를 위해 자폐증 행동을 보이는 원숭이를 만들다,Universal,830
11109,2016-02-16T08:46:16Z,1916: Oath Binds Allies to Belgium,World,102
11110,2016-02-16T07:00:01Z,"A Fight in the Trenches, From South Carolina to Nevada",U.S.,436
11111,2016-02-16T06:45:35Z,Fat Cats on a Diet: Will They Still Love You?,Health,943
11112,2016-02-16T06:30:42Z,"Bernie Sanders, Seeking to Court Black Voters, Will Visit South Carolina and Georgia",U.S.,384
11113,2016-02-16T00:00:00Z,Review: Premiere of Wheeldon’s ‘Strapless’ at the Royal Ballet,Arts,905
11114,2016-02-16T00:00:00Z,New York Today: The Great Indoors,N.Y. / Region,952
11115,2016-02-16T06:00:53Z,Democrats See Chance to Bolster Enthusiasm in G.O.P. Pledge to Block Scalia Replacement,U.S.,314
11116,2016-02-16T00:00:00Z,"Your Tuesday Briefing: Antonin Scalia, George W. Bush, Grammy Awards",NYT Now,1122
11117,2016-02-16T00:00:00Z,Your Tuesday Morning Briefing.,NYT Now,10
11118,2016-02-16T03:00:58Z,A Frequent Flyer&#8217;s Photos of Air Travel,Multimedia/Photos,428
11119,2016-02-16T02:59:35Z,Transgender Patients Face Challenges at the Hospital,Health,1322
11120,2016-02-16T00:00:00Z,E-Commerce: Convenience Built on a Mountain of Cardboard,Science,1319
11121,2016-02-16T01:49:37Z,2016 Grammy Awards,Arts,22
11122,2016-02-16T00:00:00Z,What to Watch Tuesday,Arts,492
11123,2016-02-16T00:00:00Z,McGrady to Join ESPN,Sports,25
11124,2016-02-16T00:00:00Z,Tops in Obedience,Sports,109
11125,2016-02-16T00:00:00Z,Karlovic Ousted in Delray,Sports,137
11126,2016-02-16T00:00:00Z,American&#8217;s Perfect Return,Sports,96
11127,2016-02-16T00:00:00Z,"A Good Hair Day, at Least for the Nonhumans",Sports,24
11128,2016-02-16T00:00:00Z,"Borzoi, Bulldog, German Shepherd and Shih Tzu Are Group Winners",Sports,187
11129,2016-02-16T00:00:00Z,FIFA Candidate’s Credentials Are Questioned,Sports,188
11130,2016-02-16T00:01:42Z,Opera Philadelphia Will Mount &#8216;Breaking the Waves&#8217; Adaptation,Arts,188
11131,2016-02-16T00:00:00Z,"Paid Notice: Memorials  MONCELLO, JOHN",Paid Death Notices,24
11132,2016-02-16T00:00:00Z,"Paid Notice: Deaths  PERLMAN, CLAIRE FIELD",Paid Death Notices,65
11133,2016-02-16T00:00:00Z,"Paid Notice: Deaths  RUDNICK, LAWRENCE ALAN",Paid Death Notices,85
11134,2016-02-16T00:00:00Z,"Paid Notice: Deaths  WEINRIB, JAY",Paid Death Notices,35
11135,2016-02-16T00:00:00Z,"Paid Notice: Deaths  CLARICK, DONALD E.",Paid Death Notices,187
11136,2016-02-16T00:00:00Z,"Paid Notice: Deaths  FIELD, JOSH",Paid Death Notices,20
11137,2016-02-16T00:00:00Z,"Paid Notice: Deaths  WEINRIB, JEROME (JAY",Paid Death Notices,118
11138,2016-02-16T00:00:00Z,"Paid Notice: Deaths  WEINRIB, JEROME",Paid Death Notices,39
11139,2016-02-16T00:00:00Z,"Paid Notice: Deaths  PERLMAN, CLAIRE FIELD",Paid Death Notices,199
11140,2016-02-16T00:00:00Z,"Paid Notice: Deaths  STUCKY, STEVEN",Paid Death Notices,95
11141,2016-02-16T00:00:00Z,"Paid Notice: Deaths  WEIL, GORDON",Paid Death Notices,90
11142,2016-02-16T00:00:00Z,"Paid Notice: Deaths  DALY, NANCY R.",Paid Death Notices,136
11143,2016-02-16T00:00:00Z,Rider Seeks Race Funds,Sports,31
11144,2016-02-16T00:00:00Z,Health History of Scalia Is Called Poor,U.S.,234
11145,2016-02-16T00:00:00Z,"Man Waving Gun Is Shot by Officers in the Bronx, Police Say",N.Y. / Region,334
11146,2016-02-16T00:00:00Z,Quotation of the Day,Today’s Paper,35
11147,2016-02-16T00:00:00Z,"No Corrections: February 16, 2016",Corrections,77
